metatranscriptomics_name	kraken2_taxonomy
k141_226892	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_151264	Pseudomonas sp. LG1E9 (taxid 2219057)
k141_37817	Achromobacter xylosoxidans A8 (taxid 762376)
k141_94540	Pseudomonas fluorescens WH6 (taxid 746360)
k141_226894	Pseudomonas putida (taxid 303)
k141_94541	Lactobacillus mucosae LM1 (taxid 1130798)
k141_132356	Pseudomonas fragi (taxid 296)
k141_113453	Pseudomonas putida (taxid 303)
k141_18916	Thermotoga sp. RQ2 (taxid 126740)
k141_170180	Pseudomonas psychrophila (taxid 122355)
k141_56732	Acinetobacter ursingii (taxid 108980)
k141_94542	Vibrio spartinae (taxid 1918945)
k141_12	Escherichia marmotae (taxid 1499973)
k141_226896	Pseudomonas fragi (taxid 296)
k141_113455	Pseudomonas putida (taxid 303)
k141_18917	Pseudomonas fragi (taxid 296)
k141_56733	Paraburkholderia fungorum (taxid 134537)
k141_151272	Bacteria (taxid 2)
k141_37823	Enterobacteriaceae (taxid 543)
k141_18921	Sphingomonas sp. YZ-8 (taxid 2319844)
k141_189077	Pseudomonas fragi (taxid 296)
k141_245814	Phreatobacter cathodiphilus (taxid 1868589)
k141_132357	Pluralibacter gergoviae (taxid 61647)
k141_151276	Pseudomonas mendocina (taxid 300)
k141_56734	Enterobacteriaceae (taxid 543)
k141_245815	Vibrio sp. THAF190c (taxid 2587865)
k141_94549	Enterobacteriaceae (taxid 543)
k141_132361	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_170194	Pseudomonas fragi (taxid 296)
k141_18924	Pseudomonas rhodesiae (taxid 76760)
k141_113465	Acinetobacter bereziniae (taxid 106648)
k141_75656	Pseudomonas putida S13.1.2 (taxid 1384061)
k141_23	Pseudomonas sp. NIBRBAC000502773 (taxid 2590776)
k141_94551	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_18925	Hydrogenophaga sp. YM1 (taxid 2806262)
k141_132364	Streptococcus equinus (taxid 1335)
k141_25	Pluralibacter gergoviae (taxid 61647)
k141_37835	Vibrio alfacsensis (taxid 1074311)
k141_151284	Hydrogenophaga sp. BA0156 (taxid 2716225)
k141_132365	Vibrio sp. SM1977 (taxid 2662262)
k141_245818	Pseudomonas protegens (taxid 380021)
k141_56740	Pluralibacter gergoviae (taxid 61647)
k141_170200	Hydrogenophaga sp. BA0156 (taxid 2716225)
k141_151288	Achromobacter xylosoxidans (taxid 85698)
k141_132369	Serratia (taxid 613)
k141_56745	Pseudomonas migulae (taxid 78543)
k141_189091	Lactobacillus (taxid 1578)
k141_94557	Pseudomonas (taxid 286)
k141_75665	Photobacterium damselae (taxid 38293)
k141_56746	Microbacteriaceae (taxid 85023)
k141_18936	Lactiplantibacillus plantarum (taxid 1590)
k141_132371	Microbacteriaceae (taxid 85023)
k141_245821	Pseudomonas protegens (taxid 380021)
k141_35	Citrobacter (taxid 544)
k141_189096	Pseudomonas agarici (taxid 46677)
k141_56749	unclassified Dietzia (taxid 2617939)
k141_94562	Hydrogenophaga sp. BA0156 (taxid 2716225)
k141_38	Pseudomonas frederiksbergensis (taxid 104087)
k141_170220	Xanthomonas campestris (taxid 339)
k141_132372	Pseudomonas fragi (taxid 296)
k141_75668	Achromobacter xylosoxidans A8 (taxid 762376)
k141_189102	Fusobacterium pseudoperiodonticum (taxid 2663009)
k141_245827	Achromobacter xylosoxidans (taxid 85698)
k141_151303	Vibrio alginolyticus (taxid 663)
k141_245828	Acinetobacter piscicola (taxid 2006115)
k141_75671	Achromobacter xylosoxidans (taxid 85698)
k141_189104	Streptomyces albus (taxid 1888)
k141_208036	Pseudomonas psychrophila (taxid 122355)
k141_75672	Pseudomonas protegens (taxid 380021)
k141_94570	Geobacillus sp. WCH70 (taxid 471223)
k141_226917	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_245830	Chryseoglobus indicus (taxid 2750620)
k141_151310	Enterobacteriaceae (taxid 543)
k141_170230	Pseudomonas antarctica (taxid 219572)
k141_226918	Pseudomonas rhodesiae (taxid 76760)
k141_132373	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_208040	Vibrio aphrogenes (taxid 1891186)
k141_46	Pseudomonas fragi (taxid 296)
k141_245832	Pseudomonas taetrolens (taxid 47884)
k141_18948	Pseudomonas fragi (taxid 296)
k141_151312	Pseudomonas fluorescens R124 (taxid 743713)
k141_56753	Pluralibacter gergoviae (taxid 61647)
k141_75677	Vibrio mediterranei (taxid 689)
k141_48	Acinetobacter piscicola (taxid 2006115)
k141_226921	Lactobacillus crispatus (taxid 47770)
k141_170236	Ottowia oryzae (taxid 2109914)
k141_50	Pseudomonas psychrophila (taxid 122355)
k141_37850	Dietzia sp. oral taxon 368 (taxid 712270)
k141_132380	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_18953	Pseudomonas asplenii (taxid 53407)
k141_189116	Enterobacteriaceae (taxid 543)
k141_94581	Pseudomonas sp. FDAARGOS_380 (taxid 2018067)
k141_51	Pseudomonas mendocina S5.2 (taxid 1225174)
k141_37851	Pseudomonas fragi (taxid 296)
k141_113468	Limosilactobacillus vaginalis (taxid 1633)
k141_132384	Pseudomonas fragi (taxid 296)
k141_170244	Pseudomonas putida NBRC 14164 (taxid 1211579)
k141_52	Achromobacter deleyi (taxid 1353891)
k141_75678	Pseudomonas fragi (taxid 296)
k141_56760	Pseudomonas mendocina (taxid 300)
k141_18961	Bacteria (taxid 2)
k141_208041	Lactobacillus amylovorus DSM 20531 (taxid 1423723)
k141_132387	Sphingopyxis sp. QXT-31 (taxid 1357916)
k141_113475	Pseudomonas putida F1 (taxid 351746)
k141_189120	Pseudomonas fluorescens group (taxid 136843)
k141_245845	Pseudomonas fluorescens WH6 (taxid 746360)
k141_57	Pseudomonas fragi (taxid 296)
k141_151325	Ligilactobacillus salivarius (taxid 1624)
k141_56762	Aeromicrobium erythreum (taxid 2041)
k141_75684	Pseudomonas putida S13.1.2 (taxid 1384061)
k141_226935	Pseudomonas fragi (taxid 296)
